FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,
ARKG,2021-01-27,Buy,HIMS,433000106,HIMS & HERS HEALTH INC,461611,0.0585,
ARKG,2021-01-27,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,78360,0.0352,
ARKG,2021-01-27,Buy,INCY,45337C102,INCYTE CORP,99341,0.0897,
ARKG,2021-01-27,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,91851,0.0518,
ARKG,2021-01-27,Buy,TXG,88025U109,10X GENOMICS INC,86172,0.1349,
ARKG,2021-01-27,Buy,ACCD,00437E102,ACCOLADE INC,232487,0.117,
ARKG,2021-01-27,Buy,CDXS,192005106,CODEXIS INC,187439,0.0407,
ARKG,2021-01-27,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,51340,0.0164,
ARKG,2021-01-27,Sell,GOOGL,02079K305,ALPHABET INC,35300,0.6063,
ARKK,2021-01-27,Buy,PCAR,693718108,PACCAR INC,406100,0.1728,
ARKK,2021-01-27,Buy,FATE,31189P102,FATE THERAPEUTICS INC,160000,0.0611,
ARKK,2021-01-27,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,144338,0.0583,
ARKK,2021-01-27,Buy,NTDOY,654445303,NINTENDO CO LTD,34037,0.0111,
ARKK,2021-01-27,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,8425,0.0005,
ARKK,2021-01-27,Sell,ROKU,77543R102,ROKU INC,172509,0.3103,
ARKK,2021-01-27,Sell,PRLB,743713109,PROTO LABS INC,47625,0.0544,
ARKQ,2021-01-27,Buy,KMTUY,500458401,KOMATSU LTD,75437,0.0723,
ARKQ,2021-01-27,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,246018,0.1187,
ARKQ,2021-01-27,Buy,PCAR,693718108,PACCAR INC,75800,0.2514,
ARKQ,2021-01-27,Buy,TER,880770102,TERADYNE INC,33683,0.1522,
ARKQ,2021-01-27,Buy,NVDA,67066G104,NVIDIA CORP,8486,0.1522,
ARKQ,2021-01-27,Sell,PRLB,743713109,PROTO LABS INC,21810,0.2039,
ARKQ,2021-01-27,Sell,WKHS,98138J206,WORKHORSE GROUP INC,151100,0.2027,
ARKQ,2021-01-27,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,217100,0.4272,
